location,forecast_date,quantile,value,target,target_end_date,type
11,2021-04-19,0.05,0,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.1,0,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.15,1.7423195006134038,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.2,3.2063292446969434,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.25,4.16738054392833,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.3,5.368833463263247,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.35,6.357379499548196,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.4,7.355022838437256,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.45,8.29668831621198,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.5,9.393339620212739,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.55,10.157680343561992,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.6,10.899686616230206,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.65,11.732856586268245,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.7,12.841891130467328,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.75,13.789573279005095,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.8,15.17468719198641,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.85,17.500000000000007,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.9,21.002546948489393,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.95,26.404107490194953,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.975,36.04989558158001,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.99,39.23676338388531,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.01,0,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.025,1.1508970000346155,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.05,1.7753737628822628,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.1,7.7719244659687545,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.15,10.9632702521534,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.2,12.939891590328791,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.25,14.59221587559156,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.3,16.344633132599167,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.35,17.35949851178131,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.4,18.745904084425728,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.45,19.732779105624697,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.5,20.75467081640152,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.55,21.521858491455532,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.6,22.881520064336677,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.65,24.41243989004337,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.7,25.67437727848062,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.75,26.596050051337492,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.8,28.628664381644064,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.85,32.32316137770089,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.9,37.284832146282945,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.95,43.96266887334869,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.975,55.76039257374795,1 wk ahead inc death,2021-04-24,quantile
10,2021-04-19,0.99,63.438617978485595,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.01,192.42101330245575,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.025,219.12629418168518,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.05,243.54968703349937,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.1,271.52963375975224,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.15,284.60327961008534,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.2,298.06720306535493,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.25,317.6834529682327,1 wk ahead inc death,2021-04-24,quantile
